world_id,zone,true_effect,mlc_decision,mlc_reason_code,b2_decision,b3_decision,b4_decision,ground_truth_decision,defer_origin_classification
WORLD_BOUNDARY_-0.04_SEED_2038,BOUNDARY,-0.04,DEFER,AMBIGUOUS_PROSPECTIVE_EFFECT,REJECT,REJECT,DEFER,DEFER,EXPECTED_EFFECT_AMBIGUITY_DEFER
WORLD_BOUNDARY_-0.04_SEED_2039,BOUNDARY,-0.04,DEFER,AMBIGUOUS_PROSPECTIVE_EFFECT,REJECT,REJECT,DEFER,DEFER,EXPECTED_EFFECT_AMBIGUITY_DEFER
WORLD_BOUNDARY_-0.04_SEED_2040,BOUNDARY,-0.04,REJECT,SUFFICIENT_NEGATIVE_PROSPECTIVE_EFFECT,DEFER,DEFER,DEFER,DEFER,OTHER_DEFER_MISMATCH
WORLD_BOUNDARY_-0.04_SEED_2041,BOUNDARY,-0.04,DEFER,AMBIGUOUS_PROSPECTIVE_EFFECT,REJECT,REJECT,DEFER,DEFER,EXPECTED_EFFECT_AMBIGUITY_DEFER
WORLD_BOUNDARY_-0.04_SEED_2042,BOUNDARY,-0.04,DEFER,AMBIGUOUS_PROSPECTIVE_EFFECT,REJECT,DEFER,DEFER,DEFER,EXPECTED_EFFECT_AMBIGUITY_DEFER
WORLD_BOUNDARY_-0.04_SEED_2043,BOUNDARY,-0.04,DEFER,AMBIGUOUS_PROSPECTIVE_EFFECT,REJECT,ADMIT,DEFER,DEFER,EXPECTED_EFFECT_AMBIGUITY_DEFER
WORLD_BOUNDARY_-0.04_SEED_2044,BOUNDARY,-0.04,DEFER,AMBIGUOUS_PROSPECTIVE_EFFECT,DEFER,DEFER,DEFER,DEFER,EXPECTED_EFFECT_AMBIGUITY_DEFER
WORLD_BOUNDARY_0.00_SEED_2045,BOUNDARY,0.0,REJECT,SUFFICIENT_NEGATIVE_PROSPECTIVE_EFFECT,DEFER,DEFER,DEFER,DEFER,OTHER_DEFER_MISMATCH
WORLD_BOUNDARY_0.00_SEED_2046,BOUNDARY,0.0,DEFER,AMBIGUOUS_PROSPECTIVE_EFFECT,DEFER,REJECT,DEFER,DEFER,EXPECTED_EFFECT_AMBIGUITY_DEFER
WORLD_BOUNDARY_0.00_SEED_2047,BOUNDARY,0.0,REJECT,SUFFICIENT_NEGATIVE_PROSPECTIVE_EFFECT,DEFER,ADMIT,DEFER,DEFER,OTHER_DEFER_MISMATCH
WORLD_BOUNDARY_0.00_SEED_2048,BOUNDARY,0.0,DEFER,AMBIGUOUS_PROSPECTIVE_EFFECT,REJECT,REJECT,DEFER,DEFER,EXPECTED_EFFECT_AMBIGUITY_DEFER
WORLD_BOUNDARY_0.00_SEED_2049,BOUNDARY,0.0,REJECT,SUFFICIENT_NEGATIVE_PROSPECTIVE_EFFECT,DEFER,DEFER,DEFER,DEFER,OTHER_DEFER_MISMATCH
WORLD_BOUNDARY_0.00_SEED_2050,BOUNDARY,0.0,DEFER,AMBIGUOUS_PROSPECTIVE_EFFECT,DEFER,DEFER,DEFER,DEFER,EXPECTED_EFFECT_AMBIGUITY_DEFER
WORLD_BOUNDARY_0.00_SEED_2051,BOUNDARY,0.0,DEFER,AMBIGUOUS_PROSPECTIVE_EFFECT,DEFER,ADMIT,DEFER,DEFER,EXPECTED_EFFECT_AMBIGUITY_DEFER
WORLD_BOUNDARY_0.05_SEED_2052,BOUNDARY,0.05,DEFER,AMBIGUOUS_PROSPECTIVE_EFFECT,DEFER,DEFER,DEFER,DEFER,EXPECTED_EFFECT_AMBIGUITY_DEFER
WORLD_BOUNDARY_0.05_SEED_2053,BOUNDARY,0.05,DEFER,AMBIGUOUS_PROSPECTIVE_EFFECT,DEFER,ADMIT,DEFER,DEFER,EXPECTED_EFFECT_AMBIGUITY_DEFER
WORLD_BOUNDARY_0.05_SEED_2054,BOUNDARY,0.05,DEFER,AMBIGUOUS_PROSPECTIVE_EFFECT,DEFER,REJECT,DEFER,DEFER,EXPECTED_EFFECT_AMBIGUITY_DEFER
WORLD_BOUNDARY_0.05_SEED_2055,BOUNDARY,0.05,DEFER,AMBIGUOUS_PROSPECTIVE_EFFECT,DEFER,ADMIT,DEFER,DEFER,EXPECTED_EFFECT_AMBIGUITY_DEFER
WORLD_BOUNDARY_0.05_SEED_2056,BOUNDARY,0.05,DEFER,AMBIGUOUS_PROSPECTIVE_EFFECT,DEFER,REJECT,DEFER,DEFER,EXPECTED_EFFECT_AMBIGUITY_DEFER
WORLD_BOUNDARY_0.05_SEED_2057,BOUNDARY,0.05,DEFER,AMBIGUOUS_PROSPECTIVE_EFFECT,DEFER,REJECT,DEFER,DEFER,EXPECTED_EFFECT_AMBIGUITY_DEFER
WORLD_BOUNDARY_0.05_SEED_2058,BOUNDARY,0.05,DEFER,AMBIGUOUS_PROSPECTIVE_EFFECT,ADMIT,DEFER,DEFER,DEFER,EXPECTED_EFFECT_AMBIGUITY_DEFER
WORLD_BOUNDARY_0.05_SEED_2059,BOUNDARY,0.05,DEFER,AMBIGUOUS_PROSPECTIVE_EFFECT,DEFER,ADMIT,DEFER,DEFER,EXPECTED_EFFECT_AMBIGUITY_DEFER
WORLD_BOUNDARY_0.12_SEED_2060,BOUNDARY,0.12,DEFER,AMBIGUOUS_PROSPECTIVE_EFFECT,DEFER,ADMIT,DEFER,DEFER,EXPECTED_EFFECT_AMBIGUITY_DEFER
WORLD_BOUNDARY_0.12_SEED_2061,BOUNDARY,0.12,ADMIT,SUFFICIENT_POSITIVE_PROSPECTIVE_EFFECT,ADMIT,ADMIT,DEFER,DEFER,OTHER_DEFER_MISMATCH
WORLD_BOUNDARY_0.12_SEED_2062,BOUNDARY,0.12,DEFER,AMBIGUOUS_PROSPECTIVE_EFFECT,DEFER,DEFER,DEFER,DEFER,EXPECTED_EFFECT_AMBIGUITY_DEFER
WORLD_BOUNDARY_0.12_SEED_2063,BOUNDARY,0.12,DEFER,AMBIGUOUS_PROSPECTIVE_EFFECT,DEFER,ADMIT,DEFER,DEFER,EXPECTED_EFFECT_AMBIGUITY_DEFER
WORLD_BOUNDARY_0.12_SEED_2064,BOUNDARY,0.12,DEFER,AMBIGUOUS_PROSPECTIVE_EFFECT,DEFER,REJECT,DEFER,DEFER,EXPECTED_EFFECT_AMBIGUITY_DEFER
WORLD_BOUNDARY_0.12_SEED_2065,BOUNDARY,0.12,ADMIT,SUFFICIENT_POSITIVE_PROSPECTIVE_EFFECT,DEFER,DEFER,DEFER,DEFER,OTHER_DEFER_MISMATCH
WORLD_BOUNDARY_0.12_SEED_2066,BOUNDARY,0.12,DEFER,AMBIGUOUS_PROSPECTIVE_EFFECT,DEFER,DEFER,DEFER,DEFER,EXPECTED_EFFECT_AMBIGUITY_DEFER
WORLD_BOUNDARY_0.16_SEED_2067,BOUNDARY,0.16,DEFER,AMBIGUOUS_PROSPECTIVE_EFFECT,ADMIT,ADMIT,ADMIT,ADMIT,OTHER_DEFER_MISMATCH
WORLD_BOUNDARY_0.16_SEED_2068,BOUNDARY,0.16,ADMIT,SUFFICIENT_POSITIVE_PROSPECTIVE_EFFECT,DEFER,REJECT,ADMIT,ADMIT,OTHER_DEFER_MISMATCH
WORLD_BOUNDARY_0.16_SEED_2069,BOUNDARY,0.16,ADMIT,SUFFICIENT_POSITIVE_PROSPECTIVE_EFFECT,ADMIT,REJECT,ADMIT,ADMIT,OTHER_DEFER_MISMATCH
WORLD_BOUNDARY_0.16_SEED_2070,BOUNDARY,0.16,ADMIT,SUFFICIENT_POSITIVE_PROSPECTIVE_EFFECT,ADMIT,REJECT,ADMIT,ADMIT,OTHER_DEFER_MISMATCH
WORLD_BOUNDARY_0.16_SEED_2071,BOUNDARY,0.16,DEFER,AMBIGUOUS_PROSPECTIVE_EFFECT,ADMIT,REJECT,ADMIT,ADMIT,OTHER_DEFER_MISMATCH
WORLD_BOUNDARY_0.16_SEED_2072,BOUNDARY,0.16,DEFER,AMBIGUOUS_PROSPECTIVE_EFFECT,DEFER,ADMIT,ADMIT,ADMIT,OTHER_DEFER_MISMATCH
WORLD_BOUNDARY_0.16_SEED_2073,BOUNDARY,0.16,ADMIT,SUFFICIENT_POSITIVE_PROSPECTIVE_EFFECT,ADMIT,DEFER,ADMIT,ADMIT,OTHER_DEFER_MISMATCH
WORLD_BOUNDARY_0.20_SEED_2074,BOUNDARY,0.2,DEFER,AMBIGUOUS_PROSPECTIVE_EFFECT,ADMIT,REJECT,ADMIT,ADMIT,OTHER_DEFER_MISMATCH
WORLD_BOUNDARY_0.20_SEED_2075,BOUNDARY,0.2,ADMIT,SUFFICIENT_POSITIVE_PROSPECTIVE_EFFECT,DEFER,ADMIT,ADMIT,ADMIT,OTHER_DEFER_MISMATCH
WORLD_BOUNDARY_0.20_SEED_2076,BOUNDARY,0.2,ADMIT,SUFFICIENT_POSITIVE_PROSPECTIVE_EFFECT,ADMIT,REJECT,ADMIT,ADMIT,OTHER_DEFER_MISMATCH
WORLD_BOUNDARY_0.20_SEED_2077,BOUNDARY,0.2,DEFER,AMBIGUOUS_PROSPECTIVE_EFFECT,ADMIT,ADMIT,ADMIT,ADMIT,OTHER_DEFER_MISMATCH
WORLD_BOUNDARY_0.20_SEED_2078,BOUNDARY,0.2,ADMIT,SUFFICIENT_POSITIVE_PROSPECTIVE_EFFECT,ADMIT,ADMIT,ADMIT,ADMIT,OTHER_DEFER_MISMATCH
WORLD_BOUNDARY_0.20_SEED_2079,BOUNDARY,0.2,ADMIT,SUFFICIENT_POSITIVE_PROSPECTIVE_EFFECT,ADMIT,REJECT,ADMIT,ADMIT,OTHER_DEFER_MISMATCH
WORLD_BOUNDARY_0.20_SEED_2080,BOUNDARY,0.2,DEFER,AMBIGUOUS_PROSPECTIVE_EFFECT,ADMIT,REJECT,ADMIT,ADMIT,OTHER_DEFER_MISMATCH
WORLD_EVIDENCE_LIMITED_SEED_2081,EVIDENCE_LIMITED,0.35,DEFER,FAILED_READINESS,DEFER,DEFER,DEFER,DEFER,
WORLD_EVIDENCE_LIMITED_SEED_2082,EVIDENCE_LIMITED,0.35,DEFER,FAILED_READINESS,DEFER,ADMIT,DEFER,DEFER,
WORLD_EVIDENCE_LIMITED_SEED_2083,EVIDENCE_LIMITED,0.35,DEFER,FAILED_READINESS,DEFER,REJECT,DEFER,DEFER,
WORLD_EVIDENCE_LIMITED_SEED_2084,EVIDENCE_LIMITED,0.35,DEFER,FAILED_READINESS,DEFER,REJECT,DEFER,DEFER,
WORLD_EVIDENCE_LIMITED_SEED_2085,EVIDENCE_LIMITED,0.35,DEFER,FAILED_READINESS,DEFER,DEFER,DEFER,DEFER,
WORLD_EVIDENCE_LIMITED_SEED_2086,EVIDENCE_LIMITED,0.35,DEFER,FAILED_READINESS,DEFER,REJECT,DEFER,DEFER,
WORLD_EVIDENCE_LIMITED_SEED_2087,EVIDENCE_LIMITED,0.35,DEFER,FAILED_READINESS,DEFER,ADMIT,DEFER,DEFER,
WORLD_EVIDENCE_LIMITED_SEED_2088,EVIDENCE_LIMITED,0.35,DEFER,FAILED_READINESS,DEFER,DEFER,DEFER,DEFER,
WORLD_EVIDENCE_LIMITED_SEED_2089,EVIDENCE_LIMITED,0.35,DEFER,FAILED_READINESS,DEFER,REJECT,DEFER,DEFER,
WORLD_EVIDENCE_LIMITED_SEED_2090,EVIDENCE_LIMITED,0.35,DEFER,FAILED_READINESS,DEFER,DEFER,DEFER,DEFER,
WORLD_EVIDENCE_LIMITED_SEED_2091,EVIDENCE_LIMITED,0.35,DEFER,FAILED_READINESS,DEFER,DEFER,DEFER,DEFER,
WORLD_EVIDENCE_LIMITED_SEED_2092,EVIDENCE_LIMITED,0.35,DEFER,FAILED_READINESS,DEFER,ADMIT,DEFER,DEFER,
WORLD_EVIDENCE_LIMITED_SEED_2093,EVIDENCE_LIMITED,0.35,DEFER,FAILED_READINESS,DEFER,REJECT,DEFER,DEFER,
WORLD_EVIDENCE_LIMITED_SEED_2094,EVIDENCE_LIMITED,0.35,DEFER,FAILED_READINESS,DEFER,REJECT,DEFER,DEFER,
WORLD_EVIDENCE_LIMITED_SEED_2095,EVIDENCE_LIMITED,0.35,DEFER,FAILED_READINESS,DEFER,DEFER,DEFER,DEFER,
WORLD_EVIDENCE_LIMITED_SEED_2096,EVIDENCE_LIMITED,0.35,DEFER,FAILED_READINESS,DEFER,REJECT,DEFER,DEFER,
WORLD_EVIDENCE_LIMITED_SEED_2097,EVIDENCE_LIMITED,0.35,DEFER,FAILED_READINESS,DEFER,DEFER,DEFER,DEFER,
WORLD_EVIDENCE_LIMITED_SEED_2098,EVIDENCE_LIMITED,0.35,DEFER,FAILED_READINESS,DEFER,DEFER,DEFER,DEFER,
WORLD_EVIDENCE_LIMITED_SEED_2099,EVIDENCE_LIMITED,0.35,DEFER,FAILED_READINESS,DEFER,ADMIT,DEFER,DEFER,
WORLD_EVIDENCE_LIMITED_SEED_2100,EVIDENCE_LIMITED,0.35,DEFER,FAILED_READINESS,DEFER,ADMIT,DEFER,DEFER,
